,YTD,,Jan 2026,,Feb 2026,,Mar 2026,,Apr 2026,,May 2026,,Jun 2026,,Jul 2026,,Aug 2026,,Sep 2026,,Oct 2026,,Nov 2026,,Dec 2026,
Company : Sai Dham,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount
For the period ended Feb 2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Sales Revenue,"78,609",,"51,898",,"26,711",,,,,,,,,,,,,,,,,,,,,
Less : Discount,"-1,352","77,257",-802,"51,096",-550,"26,161",,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,,,,,,,,,,,,,,,,,,,,,,,,,,
Adhoc Revenue (Events),-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Net Sales Revenue,,"77,257",,"51,096",,"26,161",,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Goods Sold,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
- Opening Stock of goods,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
- Add : Purchases,"20,756",,"17,548",,"3,208",,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Sub Total,"20,756",,"17,548",,"3,208",,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
- Less : Closing Stock of goods,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Cost of Goods Sold,,"20,756",,"17,548",,"3,208",,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,,"56,501",,"33,548",,"22,953",,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,
- Salaries,"31,416",,"13,178",,"18,238",,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
- Rent,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
- Utilities,"8,672",,"6,064",,"2,607",,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
- Office Expenditure,"1,810",,230,,"1,580",,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
- Staff Expenses,"2,388",,"2,288",,100,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
- Sundry Expenses,"5,240",,"2,500",,"2,740",,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
- Taxes,"3,629",,"2,385",,"1,243",,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Expenses,,"53,153",,"26,645",,"26,509",,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit (EBIT),,"3,348",,"6,904",,"-3,556",,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
- Interest,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
- Taxes,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Total of Interest & Taxes,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit after Interest & Tax,-,"3,348",-,"6,904",-,"-3,556",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-