,"42,937",401,871,318,"1,871","4,698",802,"51,898",-802,"51,096","2,385","48,711",,"5,183","5,949","8,790","3,396",368,"27,404","51,090",-7
Date,Restaurant,keeta,Careem,SMILE,Talabat,Noon,Discount,Gross Sale,Discount,Net Sale BT,Tax,Net Sale AT,,Cash,Master Card,Visa Card,Zomato paid,Pay Later,Online Pay,Total,Delta
1/1/26,"2,478",-,40,-,127,36,24,"2,705",-24,"2,681",125,"2,556",,54,638,636,0,0,1354,2681.2,-
1/1/26,830,-,76,-,80,296,20,"1,302",-20,"1,281",60,"1,222",,126,319,304,81,0,452,1281.44,-
1/3/26,"1,288",-,111,-,-,189,30,"1,618",-30,"1,588",76,"1,512",,211,758,279,41,0,300,1588,-
1/4/26,"1,113",-,-,30,112,162,-,"1,417",-,"1,417",65,"1,351",,40,298,550,225,0,304,1416.6,-
1/5/26,316,-,32,-,25,50,-,423,-,423,20,404,,74,34,208,0,0,108,423.3,-
1/6/26,664,-,-,22,61,32,-,780,-,780,37,743,,142,169,299,55,0,116,779.85,-
1/7/26,307,-,-,-,-,35,51,393,-51,342,16,326,,151,132,24,0,0,35,342.1,-
1/8/26,963,-,-,-,52,204,162,"1,381",-162,"1,219",58,"1,161",,409,63,242,152,97,256,1219,-
1/9/26,738,-,95,-,77,85,5,999,-5,995,45,950,,41,382,274,41,0,257,994.3,-0.5
1/10/26,"1,229",49,-,-,147,339,20,"1,783",-20,"1,764",84,"1,680",,144,268,641,176,0,535,1763.7,-
1/11/26,"1,299",164,-,-,29,475,18,"1,985",-18,"1,966",92,"1,874",,411,179,547,163,0,668,1966.45,-
1/11/26,274,-,-,26,-,280,-,580,-,580,27,553,,132,57,85,0,0,306,580.35,-
1/13/26,993,-,-,-,-,45,-,"1,038",-,"1,038",49,988,,804,85,99,0,0,45,1031.5,-6
1/14/26,264,-,-,28,191,250,9,742,-9,734,32,702,,17,116,54,78,0,469,733.73,-
1/15/26,612,29,61,21,73,221,10,"1,028",-10,"1,017",48,969,,193,100,227,94,0,405,1017.38,-
1/16/26,325,-,-,-,43,228,-,595,-,595,27,568,,14,215,97,0,271,,595.4,-
1/17/26,965,-,24,-,-,80,6,"1,075",-6,"1,069",49,"1,021",,7,269,639,51,0,104,1069.4,-
1/18/26,638,53,120,-,82,80,119,"1,092",-119,973,46,927,,27,172,264,176,0,335,973.45,-
1/19/26,513,60,90,-,-,32,28,722,-28,694,33,661,,8,115,247,143,0,182,694.27,-
1/20/26,516,-,32,-,158,123,26,855,-26,829,37,792,,221,7,182,106,0,313,828.66,-
1/21/26,288,-,-,30,-,230,4,552,-4,549,26,522,,21,120,113,34,0,260,548.6,-
1/21/26,559,-,-,-,-,54,-,613,-,613,28,584,,221,89,124,125,0,54,612.59,-
1/23/26,494,-,66,-,74,47,-,681,-,681,32,648,,112,185,103,94,0,187,680.85,-
1/24/26,"9,236",-,-,-,28,-,-,"9,264",-,"9,264",437,"8,827",,96,313,249,78,0,8528,9263.8,-
1/25/26,"10,114",-,-,-,230,123,44,"10,511",-44,"10,467",498,"9,969",,202,158,248,396,0,9463,10466.86,-
1/26/26,511,-,-,-,61,405,12,988,-12,976,42,935,,145,168,198,0,0,466,976.3,-
1/27/26,536,-,-,-,72,131,24,764,-24,740,35,705,,59,60,366,52,0,204,739.75,-
1/28/26,"1,381",46,84,-,-,-,51,"1,562",-51,"1,511",69,"1,441",,4,197,183,242,0,886,1510.75,-
1/29/26,"1,100",-,-,15,-,36,55,"1,206",-55,"1,151",49,"1,102",,184,248,449,220,0,51,1151,-
1/30/26,625,-,40,146,112,324,22,"1,269",-22,"1,247",56,"1,191",,364,16,245,0,0,622,1246.7,-
1/31/26,"1,772",-,-,-,38,103,64,"1,976",-64,"1,912",87,"1,826",,554,24,621,574,0,141,1912.4,-
,,,,,,,,,,,,,,,,,,,,,
,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,,